Rank,Country,CountryUrlRevenue
"197","Northern Mariana Islands","/wiki/Northern_Mariana_Islands","246"
"198","American Samoa","/wiki/American_Samoa","241"
"199","Samoa","/wiki/Samoa","233"
"200","Gambia","/wiki/The_Gambia","232"
"201","Turks and Caicos Islands","/wiki/Turks_and_Caicos_Islands","226"
"202","Saint Vincent and the Grenadines","/wiki/Saint_Vincent_and_the_Grenadines","222"
"203","Micronesia, Federated States of","/wiki/Federated_States_of_Micronesia","214"
"204","Central African Republic","/wiki/Central_African_Republic","207"
"205","Kiribati","/wiki/Kiribati","198"
"206","Saint Lucia","/wiki/Saint_Lucia","185"
"207","Vanuatu","/wiki/Vanuatu","176"
"208","Guinea-Bissau","/wiki/Guinea-Bissau","171"
"209","Comoros","/wiki/Comoros","165"
"210","Dominica","/wiki/Dominica","148"
"211","Somalia","/wiki/Somalia","145"
"212","Tonga","/wiki/Tonga","133"
"213","Palau","/wiki/Palau","124"
"214","Marshall Islands","/wiki/Marshall_Islands","117"
"215","Sao Tome and Principe","/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe","109"
"216","Anguilla","/wiki/Anguilla","95"
"217","Cook Islands","/wiki/Cook_Islands","87"
"218","Saint Pierre and Miquelon","/wiki/Saint_Pierre_and_Miquelon","70"
"219","Falkland Islands","/wiki/Falkland_Islands","67"
"220","Nauru","/wiki/Nauru","58"
"221","Tuvalu","/wiki/Tuvalu","43"
"222","Montserrat","/wiki/Montserrat","37"
"223","Niue","/wiki/Niue","15"
"224","Saint Helena and Dependencies","/wiki/Saint_Helena,_Ascension_and_Tristan_da_Cunha","9"
"225","Norfolk Island","/wiki/Norfolk_Island","5"
"226","Pitcairn Islands","/wiki/Pitcairn_Islands","1"
"227","Tokelau","/wiki/Tokelau",""
"228","Wallis and Futuna","/wiki/Wallis_and_Futuna",""
"-","Christmas Island","/wiki/Christmas_Island","-"
"-","Cocos (Keeling) Islands","/wiki/Cocos_(Keeling)_Islands","-"
"-","Svalbard","/wiki/Svalbard","-"
"-","Western Sahara","/wiki/Western_Sahara","-"
